orig_idx,grade,band,cluster,signal1_grade,signal2_normalised,bloom_weighted,result_bloom,pfr_bloom,learning_bloom,bloom_penalty,disparity,final_grade,difference,confirmed,confidence,flag_for_review,flags
826,9.0,HD,32,9.12,6.22,2.4,2.0,2.0,3.0,1.0,2.9,7.38,1.62,False,medium,False,high_disparity
580,10.0,HD,5,10.0,6.74,2.8,2.0,3.0,3.0,1.0,3.26,8.04,1.96,False,low,True,high_disparity|low_similarity
327,10.0,HD,5,9.57,6.22,2.4,2.0,2.0,3.0,0.725,3.35,6.51,3.49,False,medium,False,high_disparity
623,10.0,HD,0,9.74,5.06,1.8,1.0,2.0,2.0,0.95,4.68,6.74,3.26,False,medium,False,high_disparity
365,10.0,HD,26,7.86,6.22,2.4,2.0,2.0,3.0,1.0,1.64,6.88,3.12,False,high,False,
765,9.33,HD,37,9.04,6.22,2.4,2.0,3.0,2.0,0.725,2.82,6.35,2.98,False,medium,False,high_disparity
198,10.0,HD,42,9.53,7.4,3.4,3.0,4.0,3.0,1.0,2.13,8.25,1.75,False,low,True,high_disparity|small_cluster
456,10.0,HD,18,9.56,6.22,2.4,2.0,2.0,3.0,0.725,3.34,6.5,3.5,False,medium,False,high_disparity
465,10.0,HD,15,9.98,6.74,2.8,2.0,3.0,3.0,1.0,3.24,8.04,1.96,False,low,True,high_disparity|small_cluster
311,10.0,HD,22,8.81,7.2,3.2,2.0,4.0,3.0,1.0,1.61,7.84,2.16,False,high,False,
331,10.0,HD,15,9.98,5.7,2.0,2.0,2.0,2.0,1.0,4.28,7.41,2.59,False,low,True,high_disparity|low_similarity|small_cluster
393,10.0,HD,26,8.09,7.2,3.2,2.0,3.0,4.0,1.0,0.89,7.56,2.44,False,high,False,
634,10.0,HD,19,9.9,6.22,2.4,2.0,2.0,3.0,0.725,3.68,6.6,3.4,False,low,True,high_disparity|small_cluster
789,9.33,HD,4,7.99,6.22,2.4,2.0,2.0,3.0,1.0,1.77,6.93,2.4,False,high,False,
744,9.5,HD,0,9.52,5.7,2.0,2.0,2.0,2.0,0.625,3.82,5.8,3.7,False,medium,False,high_disparity
852,8.67,HD,18,9.44,5.7,2.0,2.0,2.0,2.0,1.0,3.74,7.19,1.48,False,medium,False,high_disparity
