orig_idx,grade,band,cluster,signal1_grade,signal2_normalised,bloom_weighted,result_bloom,pfr_bloom,learning_bloom,bloom_penalty,disparity,final_grade,difference,confirmed,confidence,flag_for_review,flags
1176,5.7,Pass,10,8.42,6.74,2.8,2.0,3.0,3.0,1.0,1.68,7.24,1.54,False,high,False,
1208,5.7,Pass,7,8.75,5.06,1.8,1.0,2.0,2.0,1.0,3.69,6.17,0.47,True,medium,False,high_disparity
1168,5.7,Pass,17,8.7,6.22,2.4,2.0,2.0,3.0,1.0,2.48,6.97,1.27,False,medium,False,high_disparity
1131,5.7,Pass,17,8.71,5.06,1.8,1.0,2.0,2.0,0.575,3.65,5.04,0.66,True,medium,False,high_disparity
1193,5.7,Pass,17,8.7,6.48,2.6,3.0,2.0,3.0,0.775,2.22,6.56,0.86,True,medium,False,high_disparity
1017,6.67,Credit,28,8.66,5.96,2.2,1.0,2.0,3.0,1.0,2.7,6.77,0.1,True,medium,False,high_disparity
949,7.3,Credit,38,8.58,7.2,3.2,2.0,4.0,3.0,1.0,1.38,7.61,0.31,True,medium,False,low_similarity
943,7.33,Credit,0,8.71,7.2,3.2,2.0,4.0,3.0,0.925,1.51,7.46,0.13,True,high,False,
1023,6.5,Credit,1,8.75,5.7,2.0,2.0,2.0,2.0,1.0,3.05,6.62,0.12,True,medium,False,high_disparity
1003,6.9,Credit,25,8.66,6.48,2.6,3.0,2.0,3.0,1.0,2.18,7.13,0.23,True,low,True,high_disparity|small_cluster
1007,6.9,Credit,6,8.67,6.74,2.8,2.0,3.0,3.0,1.0,1.93,7.32,0.42,True,high,False,
969,7.0,Credit,37,8.72,6.22,2.4,2.0,2.0,3.0,1.0,2.5,6.97,0.03,True,medium,False,high_disparity
984,7.0,Credit,16,8.52,5.7,2.0,2.0,2.0,2.0,1.0,2.82,6.55,0.45,True,medium,False,high_disparity
1035,6.5,Credit,1,8.75,7.8,3.8,1.0,5.0,4.0,1.0,0.95,8.09,1.59,False,high,False,
950,7.3,Credit,37,8.7,6.48,2.6,3.0,2.0,3.0,1.0,2.22,7.14,0.16,True,medium,False,high_disparity
1018,6.67,Credit,36,8.69,5.96,2.2,1.0,3.0,2.0,1.0,2.73,6.78,0.11,True,medium,False,high_disparity
1019,6.6,Credit,37,8.74,5.06,1.8,1.0,2.0,2.0,0.95,3.68,6.03,0.57,True,medium,False,high_disparity
939,7.43,Credit,0,8.71,5.7,2.0,2.0,2.0,2.0,1.0,3.01,6.6,0.83,True,medium,False,high_disparity
1020,6.5,Credit,0,8.66,5.06,1.8,1.0,2.0,2.0,0.95,3.6,6.01,0.49,True,medium,False,high_disparity
957,7.3,Credit,38,8.79,6.74,2.8,2.0,3.0,3.0,1.0,2.05,7.36,0.06,True,medium,False,high_disparity
1009,6.9,Credit,40,8.66,7.2,3.2,2.0,4.0,3.0,1.0,1.46,7.64,0.74,True,high,False,
995,7.0,Credit,0,8.6,7.2,3.2,2.0,4.0,3.0,1.0,1.4,7.62,0.62,True,high,False,
1011,6.67,Credit,43,8.74,5.06,1.8,1.0,2.0,2.0,1.0,3.68,6.16,0.51,True,medium,False,high_disparity
1047,6.5,Credit,0,8.72,7.4,3.4,3.0,4.0,3.0,1.0,1.32,7.8,1.3,False,high,False,
981,7.0,Credit,21,8.77,6.22,2.4,2.0,3.0,2.0,1.0,2.55,6.99,0.01,True,low,True,high_disparity|small_cluster
951,7.3,Credit,17,8.7,6.74,2.8,2.0,3.0,3.0,1.0,1.96,7.33,0.03,True,high,False,
975,7.0,Credit,22,8.68,6.74,2.8,2.0,3.0,3.0,1.0,1.94,7.32,0.32,True,high,False,
1004,6.9,Credit,11,8.84,6.22,2.4,2.0,2.0,3.0,1.0,2.62,7.01,0.11,True,low,True,high_disparity|small_cluster
965,7.0,Credit,33,8.69,5.96,2.2,1.0,2.0,3.0,1.0,2.73,6.78,0.22,True,medium,False,high_disparity
961,7.3,Credit,38,8.66,6.74,2.8,2.0,3.0,3.0,1.0,1.92,7.32,0.02,True,high,False,
970,7.0,Credit,1,8.73,7.6,3.6,2.0,3.0,5.0,1.0,1.13,7.94,0.94,True,high,False,
986,7.0,Credit,16,8.82,6.22,2.4,2.0,3.0,2.0,1.0,2.6,7.0,0.0,True,low,True,high_disparity|low_similarity
1015,6.67,Credit,31,8.68,5.06,1.8,1.0,2.0,2.0,0.95,3.62,6.02,0.65,True,low,True,high_disparity|small_cluster
954,7.3,Credit,23,8.67,6.74,2.8,2.0,3.0,3.0,1.0,1.93,7.32,0.02,True,medium,False,small_cluster
983,7.0,Credit,16,8.48,6.74,2.8,2.0,3.0,3.0,1.0,1.74,7.26,0.26,True,high,False,
